league,season,game,date,home_team,away_team,B365H,B365D,B365A
ENG-Premier League,1819,2018-08-10 Man United-Leicester,2018-08-10,Man United,Leicester,1.57,3.9,7.5
ENG-Premier League,1819,2018-08-11 Bournemouth-Cardiff,2018-08-11,Bournemouth,Cardiff,1.9,3.6,4.5
ENG-Premier League,1819,2018-08-11 Fulham-Crystal Palace,2018-08-11,Fulham,Crystal Palace,2.5,3.4,3.0
ENG-Premier League,1819,2018-08-11 Huddersfield-Chelsea,2018-08-11,Huddersfield,Chelsea,6.5,4.0,1.61
ENG-Premier League,1819,2018-08-11 Newcastle-Tottenham,2018-08-11,Newcastle,Tottenham,3.9,3.5,2.04
ENG-Premier League,1819,2018-08-11 Watford-Brighton,2018-08-11,Watford,Brighton,2.37,3.2,3.4
ENG-Premier League,1819,2018-08-11 Wolves-Everton,2018-08-11,Wolves,Everton,2.37,3.3,3.3
ENG-Premier League,1819,2018-08-12 Arsenal-Man City,2018-08-12,Arsenal,Man City,4.0,3.8,1.95
ENG-Premier League,1819,2018-08-12 Liverpool-West Ham,2018-08-12,Liverpool,West Ham,1.25,6.5,14.0
ENG-Premier League,1819,2018-08-12 Southampton-Burnley,2018-08-12,Southampton,Burnley,1.85,3.5,5.0
ENG-Premier League,1819,2018-08-18 Cardiff-Newcastle,2018-08-18,Cardiff,Newcastle,3.25,3.1,2.54
ENG-Premier League,1819,2018-08-18 Chelsea-Arsenal,2018-08-18,Chelsea,Arsenal,1.8,4.0,4.5
ENG-Premier League,1819,2018-08-18 Everton-Southampton,2018-08-18,Everton,Southampton,1.9,3.5,4.75
ENG-Premier League,1819,2018-08-18 Leicester-Wolves,2018-08-18,Leicester,Wolves,2.04,3.5,3.9
ENG-Premier League,1819,2018-08-18 Tottenham-Fulham,2018-08-18,Tottenham,Fulham,1.28,6.0,12.0
ENG-Premier League,1819,2018-08-18 West Ham-Bournemouth,2018-08-18,West Ham,Bournemouth,2.1,3.6,3.7
ENG-Premier League,1819,2018-08-19 Brighton-Man United,2018-08-19,Brighton,Man United,5.5,3.6,1.75
ENG-Premier League,1819,2018-08-19 Burnley-Watford,2018-08-19,Burnley,Watford,2.45,3.1,3.4
ENG-Premier League,1819,2018-08-19 Man City-Huddersfield,2018-08-19,Man City,Huddersfield,1.1,13.0,26.0
ENG-Premier League,1819,2018-08-20 Crystal Palace-Liverpool,2018-08-20,Crystal Palace,Liverpool,7.0,5.0,1.44
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham,2018-08-25,Arsenal,West Ham,1.36,5.5,9.0
ENG-Premier League,1819,2018-08-25 Bournemouth-Everton,2018-08-25,Bournemouth,Everton,2.62,3.6,2.75
ENG-Premier League,1819,2018-08-25 Huddersfield-Cardiff,2018-08-25,Huddersfield,Cardiff,2.37,3.0,3.7
ENG-Premier League,1819,2018-08-25 Liverpool-Brighton,2018-08-25,Liverpool,Brighton,1.16,8.5,19.0
ENG-Premier League,1819,2018-08-25 Southampton-Leicester,2018-08-25,Southampton,Leicester,2.45,3.2,3.25
ENG-Premier League,1819,2018-08-25 Wolves-Man City,2018-08-25,Wolves,Man City,11.0,6.5,1.28
ENG-Premier League,1819,2018-08-26 Fulham-Burnley,2018-08-26,Fulham,Burnley,2.0,3.4,4.33
ENG-Premier League,1819,2018-08-26 Newcastle-Chelsea,2018-08-26,Newcastle,Chelsea,5.75,4.0,1.66
ENG-Premier League,1819,2018-08-26 Watford-Crystal Palace,2018-08-26,Watford,Crystal Palace,2.6,3.25,3.0
ENG-Premier League,1819,2018-08-27 Man United-Tottenham,2018-08-27,Man United,Tottenham,2.62,3.3,2.9
ENG-Premier League,1819,2018-09-01 Brighton-Fulham,2018-09-01,Brighton,Fulham,2.3,3.4,3.4
ENG-Premier League,1819,2018-09-01 Chelsea-Bournemouth,2018-09-01,Chelsea,Bournemouth,1.3,6.0,11.0
ENG-Premier League,1819,2018-09-01 Crystal Palace-Southampton,2018-09-01,Crystal Palace,Southampton,2.0,3.5,4.2
ENG-Premier League,1819,2018-09-01 Everton-Huddersfield,2018-09-01,Everton,Huddersfield,1.53,4.2,7.5
ENG-Premier League,1819,2018-09-01 Leicester-Liverpool,2018-09-01,Leicester,Liverpool,7.5,5.0,1.44
ENG-Premier League,1819,2018-09-01 Man City-Newcastle,2018-09-01,Man City,Newcastle,1.11,11.0,26.0
ENG-Premier League,1819,2018-09-01 West Ham-Wolves,2018-09-01,West Ham,Wolves,2.6,3.4,2.87
ENG-Premier League,1819,2018-09-02 Burnley-Man United,2018-09-02,Burnley,Man United,6.0,3.75,1.7
ENG-Premier League,1819,2018-09-02 Cardiff-Arsenal,2018-09-02,Cardiff,Arsenal,6.5,4.33,1.57
ENG-Premier League,1819,2018-09-02 Watford-Tottenham,2018-09-02,Watford,Tottenham,5.5,4.2,1.64
ENG-Premier League,1819,2018-09-15 Bournemouth-Leicester,2018-09-15,Bournemouth,Leicester,2.45,3.5,3.0
ENG-Premier League,1819,2018-09-15 Chelsea-Cardiff,2018-09-15,Chelsea,Cardiff,1.18,8.0,19.0
ENG-Premier League,1819,2018-09-15 Huddersfield-Crystal Palace,2018-09-15,Huddersfield,Crystal Palace,3.3,3.1,2.5
ENG-Premier League,1819,2018-09-15 Man City-Fulham,2018-09-15,Man City,Fulham,1.12,10.0,26.0
ENG-Premier League,1819,2018-09-15 Newcastle-Arsenal,2018-09-15,Newcastle,Arsenal,4.2,3.8,1.9
ENG-Premier League,1819,2018-09-15 Tottenham-Liverpool,2018-09-15,Tottenham,Liverpool,3.0,3.6,2.4
ENG-Premier League,1819,2018-09-15 Watford-Man United,2018-09-15,Watford,Man United,4.33,3.6,1.95
ENG-Premier League,1819,2018-09-16 Everton-West Ham,2018-09-16,Everton,West Ham,2.0,3.75,3.9
ENG-Premier League,1819,2018-09-16 Wolves-Burnley,2018-09-16,Wolves,Burnley,1.75,3.6,5.75
ENG-Premier League,1819,2018-09-17 Southampton-Brighton,2018-09-17,Southampton,Brighton,2.1,3.4,3.9
ENG-Premier League,1819,2018-09-22 Brighton-Tottenham,2018-09-22,Brighton,Tottenham,5.0,4.0,1.75
ENG-Premier League,1819,2018-09-22 Burnley-Bournemouth,2018-09-22,Burnley,Bournemouth,3.0,3.4,2.5
ENG-Premier League,1819,2018-09-22 Cardiff-Man City,2018-09-22,Cardiff,Man City,23.0,8.0,1.16
ENG-Premier League,1819,2018-09-22 Crystal Palace-Newcastle,2018-09-22,Crystal Palace,Newcastle,2.14,3.4,3.75
ENG-Premier League,1819,2018-09-22 Fulham-Watford,2018-09-22,Fulham,Watford,2.54,3.5,2.9
ENG-Premier League,1819,2018-09-22 Leicester-Huddersfield,2018-09-22,Leicester,Huddersfield,1.61,4.0,6.5
ENG-Premier League,1819,2018-09-22 Liverpool-Southampton,2018-09-22,Liverpool,Southampton,1.2,7.5,17.0
ENG-Premier League,1819,2018-09-22 Man United-Wolves,2018-09-22,Man United,Wolves,1.57,4.33,6.5
ENG-Premier League,1819,2018-09-23 Arsenal-Everton,2018-09-23,Arsenal,Everton,1.44,5.0,7.5
ENG-Premier League,1819,2018-09-23 West Ham-Chelsea,2018-09-23,West Ham,Chelsea,6.0,4.5,1.57
ENG-Premier League,1819,2018-09-29 Arsenal-Watford,2018-09-29,Arsenal,Watford,1.44,5.1,7.0
ENG-Premier League,1819,2018-09-29 Chelsea-Liverpool,2018-09-29,Chelsea,Liverpool,2.8,3.6,2.54
ENG-Premier League,1819,2018-09-29 Everton-Fulham,2018-09-29,Everton,Fulham,1.75,4.2,4.75
ENG-Premier League,1819,2018-09-29 Huddersfield-Tottenham,2018-09-29,Huddersfield,Tottenham,8.5,4.5,1.44
ENG-Premier League,1819,2018-09-29 Man City-Brighton,2018-09-29,Man City,Brighton,1.1,12.0,34.0
ENG-Premier League,1819,2018-09-29 Newcastle-Leicester,2018-09-29,Newcastle,Leicester,2.6,3.3,3.0
ENG-Premier League,1819,2018-09-29 West Ham-Man United,2018-09-29,West Ham,Man United,4.5,3.8,1.85
ENG-Premier League,1819,2018-09-29 Wolves-Southampton,2018-09-29,Wolves,Southampton,1.8,3.6,5.25
ENG-Premier League,1819,2018-09-30 Cardiff-Burnley,2018-09-30,Cardiff,Burnley,2.62,3.0,3.2
ENG-Premier League,1819,2018-10-01 Bournemouth-Crystal Palace,2018-10-01,Bournemouth,Crystal Palace,2.25,3.5,3.4
ENG-Premier League,1819,2018-10-05 Brighton-West Ham,2018-10-05,Brighton,West Ham,2.7,3.3,2.87
ENG-Premier League,1819,2018-10-06 Burnley-Huddersfield,2018-10-06,Burnley,Huddersfield,2.14,3.1,4.2
ENG-Premier League,1819,2018-10-06 Crystal Palace-Wolves,2018-10-06,Crystal Palace,Wolves,3.0,3.2,2.62
ENG-Premier League,1819,2018-10-06 Leicester-Everton,2018-10-06,Leicester,Everton,2.2,3.4,3.6
ENG-Premier League,1819,2018-10-06 Man United-Newcastle,2018-10-06,Man United,Newcastle,1.44,4.5,9.0
ENG-Premier League,1819,2018-10-06 Tottenham-Cardiff,2018-10-06,Tottenham,Cardiff,1.22,7.0,15.0
ENG-Premier League,1819,2018-10-06 Watford-Bournemouth,2018-10-06,Watford,Bournemouth,2.14,3.6,3.5
ENG-Premier League,1819,2018-10-07 Fulham-Arsenal,2018-10-07,Fulham,Arsenal,5.25,4.33,1.66
ENG-Premier League,1819,2018-10-07 Liverpool-Man City,2018-10-07,Liverpool,Man City,2.54,3.6,2.8
ENG-Premier League,1819,2018-10-07 Southampton-Chelsea,2018-10-07,Southampton,Chelsea,6.0,4.1,1.61
ENG-Premier League,1819,2018-10-20 Bournemouth-Southampton,2018-10-20,Bournemouth,Southampton,2.04,3.7,3.75
ENG-Premier League,1819,2018-10-20 Cardiff-Fulham,2018-10-20,Cardiff,Fulham,2.5,3.5,2.95
ENG-Premier League,1819,2018-10-20 Chelsea-Man United,2018-10-20,Chelsea,Man United,1.75,3.8,5.25
ENG-Premier League,1819,2018-10-20 Huddersfield-Liverpool,2018-10-20,Huddersfield,Liverpool,11.0,5.5,1.33
ENG-Premier League,1819,2018-10-20 Man City-Burnley,2018-10-20,Man City,Burnley,1.08,13.0,34.0
ENG-Premier League,1819,2018-10-20 Newcastle-Brighton,2018-10-20,Newcastle,Brighton,2.2,3.25,3.8
ENG-Premier League,1819,2018-10-20 West Ham-Tottenham,2018-10-20,West Ham,Tottenham,4.1,3.9,1.9
ENG-Premier League,1819,2018-10-20 Wolves-Watford,2018-10-20,Wolves,Watford,1.75,3.75,5.25
ENG-Premier League,1819,2018-10-21 Everton-Crystal Palace,2018-10-21,Everton,Crystal Palace,1.85,3.6,4.75
ENG-Premier League,1819,2018-10-22 Arsenal-Leicester,2018-10-22,Arsenal,Leicester,1.53,4.5,6.5
ENG-Premier League,1819,2018-10-27 Brighton-Wolves,2018-10-27,Brighton,Wolves,3.2,3.2,2.5
ENG-Premier League,1819,2018-10-27 Fulham-Bournemouth,2018-10-27,Fulham,Bournemouth,2.9,3.75,2.4
ENG-Premier League,1819,2018-10-27 Leicester-West Ham,2018-10-27,Leicester,West Ham,2.1,3.5,3.8
ENG-Premier League,1819,2018-10-27 Liverpool-Cardiff,2018-10-27,Liverpool,Cardiff,1.11,11.0,26.0
ENG-Premier League,1819,2018-10-27 Southampton-Newcastle,2018-10-27,Southampton,Newcastle,2.1,3.4,3.9
ENG-Premier League,1819,2018-10-27 Watford-Huddersfield,2018-10-27,Watford,Huddersfield,1.75,3.75,5.25
ENG-Premier League,1819,2018-10-28 Burnley-Chelsea,2018-10-28,Burnley,Chelsea,11.0,5.0,1.36
ENG-Premier League,1819,2018-10-28 Crystal Palace-Arsenal,2018-10-28,Crystal Palace,Arsenal,4.75,4.1,1.75
ENG-Premier League,1819,2018-10-28 Man United-Everton,2018-10-28,Man United,Everton,1.72,3.9,5.25
ENG-Premier League,1819,2018-10-29 Tottenham-Man City,2018-10-29,Tottenham,Man City,4.75,4.1,1.75
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,2018-11-03,Arsenal,Liverpool,3.9,3.9,1.95
ENG-Premier League,1819,2018-11-03 Bournemouth-Man United,2018-11-03,Bournemouth,Man United,3.6,3.7,2.1
ENG-Premier League,1819,2018-11-03 Cardiff-Leicester,2018-11-03,Cardiff,Leicester,3.8,3.4,2.14
ENG-Premier League,1819,2018-11-03 Everton-Brighton,2018-11-03,Everton,Brighton,1.61,4.0,6.5
ENG-Premier League,1819,2018-11-03 Newcastle-Watford,2018-11-03,Newcastle,Watford,2.75,3.25,2.8
ENG-Premier League,1819,2018-11-03 West Ham-Burnley,2018-11-03,West Ham,Burnley,1.75,3.75,5.25
ENG-Premier League,1819,2018-11-03 Wolves-Tottenham,2018-11-03,Wolves,Tottenham,3.1,3.4,2.45
ENG-Premier League,1819,2018-11-04 Chelsea-Crystal Palace,2018-11-04,Chelsea,Crystal Palace,1.25,6.75,13.0
ENG-Premier League,1819,2018-11-04 Man City-Southampton,2018-11-04,Man City,Southampton,1.11,11.0,29.0
ENG-Premier League,1819,2018-11-05 Huddersfield-Fulham,2018-11-05,Huddersfield,Fulham,2.3,3.5,3.3
ENG-Premier League,1819,2018-11-10 Cardiff-Brighton,2018-11-10,Cardiff,Brighton,2.6,3.1,3.1
ENG-Premier League,1819,2018-11-10 Crystal Palace-Tottenham,2018-11-10,Crystal Palace,Tottenham,4.5,3.75,1.85
ENG-Premier League,1819,2018-11-10 Huddersfield-West Ham,2018-11-10,Huddersfield,West Ham,3.4,3.25,2.35
ENG-Premier League,1819,2018-11-10 Leicester-Burnley,2018-11-10,Leicester,Burnley,1.5,4.33,8.0
ENG-Premier League,1819,2018-11-10 Newcastle-Bournemouth,2018-11-10,Newcastle,Bournemouth,2.9,3.4,2.6
ENG-Premier League,1819,2018-11-10 Southampton-Watford,2018-11-10,Southampton,Watford,2.5,3.3,3.1
ENG-Premier League,1819,2018-11-11 Arsenal-Wolves,2018-11-11,Arsenal,Wolves,1.66,4.2,5.25
ENG-Premier League,1819,2018-11-11 Chelsea-Everton,2018-11-11,Chelsea,Everton,1.4,5.25,8.5
ENG-Premier League,1819,2018-11-11 Liverpool-Fulham,2018-11-11,Liverpool,Fulham,1.11,11.0,26.0
ENG-Premier League,1819,2018-11-11 Man City-Man United,2018-11-11,Man City,Man United,1.4,5.25,8.5
ENG-Premier League,1819,2018-11-24 Brighton-Leicester,2018-11-24,Brighton,Leicester,2.9,3.4,2.6
ENG-Premier League,1819,2018-11-24 Everton-Cardiff,2018-11-24,Everton,Cardiff,1.4,5.0,9.0
ENG-Premier League,1819,2018-11-24 Fulham-Southampton,2018-11-24,Fulham,Southampton,2.62,3.5,2.8
ENG-Premier League,1819,2018-11-24 Man United-Crystal Palace,2018-11-24,Man United,Crystal Palace,1.4,5.25,8.0
ENG-Premier League,1819,2018-11-24 Tottenham-Chelsea,2018-11-24,Tottenham,Chelsea,2.8,3.5,2.6
ENG-Premier League,1819,2018-11-24 Watford-Liverpool,2018-11-24,Watford,Liverpool,6.5,4.33,1.55
ENG-Premier League,1819,2018-11-24 West Ham-Man City,2018-11-24,West Ham,Man City,13.0,6.5,1.25
ENG-Premier League,1819,2018-11-25 Bournemouth-Arsenal,2018-11-25,Bournemouth,Arsenal,3.5,3.75,1.95
ENG-Premier League,1819,2018-11-25 Wolves-Huddersfield,2018-11-25,Wolves,Huddersfield,1.5,4.33,8.0
ENG-Premier League,1819,2018-11-26 Burnley-Newcastle,2018-11-26,Burnley,Newcastle,2.9,3.2,2.75
ENG-Premier League,1819,2018-11-30 Cardiff-Wolves,2018-11-30,Cardiff,Wolves,3.8,3.25,2.2
ENG-Premier League,1819,2018-12-01 Crystal Palace-Burnley,2018-12-01,Crystal Palace,Burnley,1.61,3.9,6.5
ENG-Premier League,1819,2018-12-01 Huddersfield-Brighton,2018-12-01,Huddersfield,Brighton,2.5,3.0,3.4
ENG-Premier League,1819,2018-12-01 Leicester-Watford,2018-12-01,Leicester,Watford,2.25,3.3,3.6
ENG-Premier League,1819,2018-12-01 Man City-Bournemouth,2018-12-01,Man City,Bournemouth,1.11,11.0,26.0
ENG-Premier League,1819,2018-12-01 Newcastle-West Ham,2018-12-01,Newcastle,West Ham,2.5,3.3,3.1
ENG-Premier League,1819,2018-12-01 Southampton-Man United,2018-12-01,Southampton,Man United,4.33,3.6,1.95
ENG-Premier League,1819,2018-12-02 Arsenal-Tottenham,2018-12-02,Arsenal,Tottenham,2.62,3.6,2.75
ENG-Premier League,1819,2018-12-02 Chelsea-Fulham,2018-12-02,Chelsea,Fulham,1.18,8.0,17.0
ENG-Premier League,1819,2018-12-02 Liverpool-Everton,2018-12-02,Liverpool,Everton,1.4,5.0,9.0
ENG-Premier League,1819,2018-12-04 Bournemouth-Huddersfield,2018-12-04,Bournemouth,Huddersfield,1.66,3.8,6.0
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,2018-12-04,Brighton,Crystal Palace,3.0,3.1,2.7
ENG-Premier League,1819,2018-12-04 Watford-Man City,2018-12-04,Watford,Man City,11.0,6.0,1.3
ENG-Premier League,1819,2018-12-04 West Ham-Cardiff,2018-12-04,West Ham,Cardiff,1.66,4.0,5.75
ENG-Premier League,1819,2018-12-05 Burnley-Liverpool,2018-12-05,Burnley,Liverpool,14.0,5.75,1.28
ENG-Premier League,1819,2018-12-05 Everton-Newcastle,2018-12-05,Everton,Newcastle,1.6,4.0,6.5
ENG-Premier League,1819,2018-12-05 Fulham-Leicester,2018-12-05,Fulham,Leicester,3.0,3.5,2.45
ENG-Premier League,1819,2018-12-05 Man United-Arsenal,2018-12-05,Man United,Arsenal,2.45,3.5,3.0
ENG-Premier League,1819,2018-12-05 Tottenham-Southampton,2018-12-05,Tottenham,Southampton,1.36,5.25,9.5
ENG-Premier League,1819,2018-12-05 Wolves-Chelsea,2018-12-05,Wolves,Chelsea,5.0,3.75,1.8
ENG-Premier League,1819,2018-12-08 Arsenal-Huddersfield,2018-12-08,Arsenal,Huddersfield,1.28,6.0,12.0
ENG-Premier League,1819,2018-12-08 Bournemouth-Liverpool,2018-12-08,Bournemouth,Liverpool,5.75,4.5,1.6
ENG-Premier League,1819,2018-12-08 Burnley-Brighton,2018-12-08,Burnley,Brighton,2.9,3.2,2.75
ENG-Premier League,1819,2018-12-08 Cardiff-Southampton,2018-12-08,Cardiff,Southampton,2.9,3.25,2.7
ENG-Premier League,1819,2018-12-08 Chelsea-Man City,2018-12-08,Chelsea,Man City,4.0,3.8,1.95
ENG-Premier League,1819,2018-12-08 Leicester-Tottenham,2018-12-08,Leicester,Tottenham,3.8,3.75,2.0
ENG-Premier League,1819,2018-12-08 Man United-Fulham,2018-12-08,Man United,Fulham,1.33,5.75,10.0
ENG-Premier League,1819,2018-12-08 West Ham-Crystal Palace,2018-12-08,West Ham,Crystal Palace,2.3,3.4,3.4
ENG-Premier League,1819,2018-12-09 Newcastle-Wolves,2018-12-09,Newcastle,Wolves,2.9,3.2,2.7
ENG-Premier League,1819,2018-12-10 Everton-Watford,2018-12-10,Everton,Watford,1.8,3.75,5.0
ENG-Premier League,1819,2018-12-15 Crystal Palace-Leicester,2018-12-15,Crystal Palace,Leicester,2.62,3.2,3.0
ENG-Premier League,1819,2018-12-15 Fulham-West Ham,2018-12-15,Fulham,West Ham,2.9,3.6,2.5
ENG-Premier League,1819,2018-12-15 Huddersfield-Newcastle,2018-12-15,Huddersfield,Newcastle,2.6,3.1,3.1
ENG-Premier League,1819,2018-12-15 Man City-Everton,2018-12-15,Man City,Everton,1.22,7.5,13.0
ENG-Premier League,1819,2018-12-15 Tottenham-Burnley,2018-12-15,Tottenham,Burnley,1.18,8.0,19.0
ENG-Premier League,1819,2018-12-15 Watford-Cardiff,2018-12-15,Watford,Cardiff,1.64,3.9,6.0
ENG-Premier League,1819,2018-12-15 Wolves-Bournemouth,2018-12-15,Wolves,Bournemouth,1.95,3.6,4.33
ENG-Premier League,1819,2018-12-16 Brighton-Chelsea,2018-12-16,Brighton,Chelsea,7.5,4.5,1.5
ENG-Premier League,1819,2018-12-16 Liverpool-Man United,2018-12-16,Liverpool,Man United,1.57,4.5,6.0
ENG-Premier League,1819,2018-12-16 Southampton-Arsenal,2018-12-16,Southampton,Arsenal,4.1,3.9,1.9
ENG-Premier League,1819,2018-12-21 Wolves-Liverpool,2018-12-21,Wolves,Liverpool,7.0,4.0,1.57
ENG-Premier League,1819,2018-12-22 Arsenal-Burnley,2018-12-22,Arsenal,Burnley,1.25,6.5,15.0
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,2018-12-22,Bournemouth,Brighton,1.9,3.7,4.33
ENG-Premier League,1819,2018-12-22 Cardiff-Man United,2018-12-22,Cardiff,Man United,6.5,4.2,1.57
ENG-Premier League,1819,2018-12-22 Chelsea-Leicester,2018-12-22,Chelsea,Leicester,1.33,5.5,11.0
ENG-Premier League,1819,2018-12-22 Huddersfield-Southampton,2018-12-22,Huddersfield,Southampton,3.1,3.1,2.6
ENG-Premier League,1819,2018-12-22 Man City-Crystal Palace,2018-12-22,Man City,Crystal Palace,1.14,10.0,21.0
ENG-Premier League,1819,2018-12-22 Newcastle-Fulham,2018-12-22,Newcastle,Fulham,2.0,3.6,4.0
ENG-Premier League,1819,2018-12-22 West Ham-Watford,2018-12-22,West Ham,Watford,2.37,3.5,3.1
ENG-Premier League,1819,2018-12-23 Everton-Tottenham,2018-12-23,Everton,Tottenham,3.25,3.5,2.3
ENG-Premier League,1819,2018-12-26 Brighton-Arsenal,2018-12-26,Brighton,Arsenal,5.25,3.9,1.72
ENG-Premier League,1819,2018-12-26 Burnley-Everton,2018-12-26,Burnley,Everton,4.33,3.5,1.95
ENG-Premier League,1819,2018-12-26 Crystal Palace-Cardiff,2018-12-26,Crystal Palace,Cardiff,1.66,4.0,5.75
ENG-Premier League,1819,2018-12-26 Fulham-Wolves,2018-12-26,Fulham,Wolves,3.25,3.4,2.37
ENG-Premier League,1819,2018-12-26 Leicester-Man City,2018-12-26,Leicester,Man City,9.5,5.25,1.36
ENG-Premier League,1819,2018-12-26 Liverpool-Newcastle,2018-12-26,Liverpool,Newcastle,1.16,8.5,19.0
ENG-Premier League,1819,2018-12-26 Man United-Huddersfield,2018-12-26,Man United,Huddersfield,1.25,6.5,15.0
ENG-Premier League,1819,2018-12-26 Tottenham-Bournemouth,2018-12-26,Tottenham,Bournemouth,1.36,5.5,9.0
ENG-Premier League,1819,2018-12-26 Watford-Chelsea,2018-12-26,Watford,Chelsea,5.25,3.8,1.75
ENG-Premier League,1819,2018-12-27 Southampton-West Ham,2018-12-27,Southampton,West Ham,2.3,3.5,3.3
ENG-Premier League,1819,2018-12-29 Brighton-Everton,2018-12-29,Brighton,Everton,3.25,3.4,2.14
ENG-Premier League,1819,2018-12-29 Fulham-Huddersfield,2018-12-29,Fulham,Huddersfield,2.0,3.4,3.75
ENG-Premier League,1819,2018-12-29 Leicester-Cardiff,2018-12-29,Leicester,Cardiff,1.55,4.0,6.0
ENG-Premier League,1819,2018-12-29 Liverpool-Arsenal,2018-12-29,Liverpool,Arsenal,1.5,4.5,5.75
ENG-Premier League,1819,2018-12-29 Tottenham-Wolves,2018-12-29,Tottenham,Wolves,1.33,5.0,8.5
ENG-Premier League,1819,2018-12-29 Watford-Newcastle,2018-12-29,Watford,Newcastle,1.85,3.6,4.0
ENG-Premier League,1819,2018-12-30 Burnley-West Ham,2018-12-30,Burnley,West Ham,3.3,3.2,2.25
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,2018-12-30,Crystal Palace,Chelsea,4.75,4.0,1.66
ENG-Premier League,1819,2018-12-30 Man United-Bournemouth,2018-12-30,Man United,Bournemouth,1.33,4.75,10.0
ENG-Premier League,1819,2018-12-30 Southampton-Man City,2018-12-30,Southampton,Man City,10.0,5.25,1.3
ENG-Premier League,1819,2019-01-01 Arsenal-Fulham,2019-01-01,Arsenal,Fulham,1.33,5.75,9.5
ENG-Premier League,1819,2019-01-01 Cardiff-Tottenham,2019-01-01,Cardiff,Tottenham,7.5,4.5,1.5
ENG-Premier League,1819,2019-01-01 Everton-Leicester,2019-01-01,Everton,Leicester,2.0,3.5,4.2
ENG-Premier League,1819,2019-01-02 Bournemouth-Watford,2019-01-02,Bournemouth,Watford,2.6,3.6,2.75
ENG-Premier League,1819,2019-01-02 Chelsea-Southampton,2019-01-02,Chelsea,Southampton,1.28,6.5,11.0
ENG-Premier League,1819,2019-01-02 Huddersfield-Burnley,2019-01-02,Huddersfield,Burnley,2.14,3.1,4.2
ENG-Premier League,1819,2019-01-02 Newcastle-Man United,2019-01-02,Newcastle,Man United,6.0,4.2,1.61
ENG-Premier League,1819,2019-01-02 West Ham-Brighton,2019-01-02,West Ham,Brighton,1.95,3.75,4.0
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,2019-01-02,Wolves,Crystal Palace,2.0,3.4,4.33
ENG-Premier League,1819,2019-01-03 Man City-Liverpool,2019-01-03,Man City,Liverpool,2.04,3.8,3.6
ENG-Premier League,1819,2019-01-12 Brighton-Liverpool,2019-01-12,Brighton,Liverpool,11.0,6.0,1.3
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,2019-01-12,Burnley,Fulham,2.4,3.3,3.25
ENG-Premier League,1819,2019-01-12 Cardiff-Huddersfield,2019-01-12,Cardiff,Huddersfield,2.25,3.25,3.6
ENG-Premier League,1819,2019-01-12 Chelsea-Newcastle,2019-01-12,Chelsea,Newcastle,1.22,7.0,15.0
ENG-Premier League,1819,2019-01-12 Crystal Palace-Watford,2019-01-12,Crystal Palace,Watford,2.25,3.4,3.5
ENG-Premier League,1819,2019-01-12 Leicester-Southampton,2019-01-12,Leicester,Southampton,1.95,3.5,4.33
ENG-Premier League,1819,2019-01-12 West Ham-Arsenal,2019-01-12,West Ham,Arsenal,3.5,4.0,2.05
ENG-Premier League,1819,2019-01-13 Everton-Bournemouth,2019-01-13,Everton,Bournemouth,1.75,4.0,4.8
ENG-Premier League,1819,2019-01-13 Tottenham-Man United,2019-01-13,Tottenham,Man United,2.05,3.7,3.75
ENG-Premier League,1819,2019-01-14 Man City-Wolves,2019-01-14,Man City,Wolves,1.18,8.0,17.0
ENG-Premier League,1819,2019-01-19 Arsenal-Chelsea,2019-01-19,Arsenal,Chelsea,3.1,3.6,2.37
ENG-Premier League,1819,2019-01-19 Bournemouth-West Ham,2019-01-19,Bournemouth,West Ham,2.37,3.7,3.0
ENG-Premier League,1819,2019-01-19 Liverpool-Crystal Palace,2019-01-19,Liverpool,Crystal Palace,1.2,7.5,17.0
ENG-Premier League,1819,2019-01-19 Man United-Brighton,2019-01-19,Man United,Brighton,1.3,5.75,12.0
ENG-Premier League,1819,2019-01-19 Newcastle-Cardiff,2019-01-19,Newcastle,Cardiff,1.95,3.4,4.5
ENG-Premier League,1819,2019-01-19 Southampton-Everton,2019-01-19,Southampton,Everton,2.75,3.4,2.7
ENG-Premier League,1819,2019-01-19 Watford-Burnley,2019-01-19,Watford,Burnley,1.65,4.0,5.75
ENG-Premier League,1819,2019-01-19 Wolves-Leicester,2019-01-19,Wolves,Leicester,2.37,3.2,3.4
ENG-Premier League,1819,2019-01-20 Fulham-Tottenham,2019-01-20,Fulham,Tottenham,5.25,3.8,1.75
ENG-Premier League,1819,2019-01-20 Huddersfield-Man City,2019-01-20,Huddersfield,Man City,21.0,8.5,1.16
ENG-Premier League,1819,2019-01-29 Arsenal-Cardiff,2019-01-29,Arsenal,Cardiff,1.22,7.0,15.0
ENG-Premier League,1819,2019-01-29 Fulham-Brighton,2019-01-29,Fulham,Brighton,2.37,3.3,3.3
ENG-Premier League,1819,2019-01-29 Huddersfield-Everton,2019-01-29,Huddersfield,Everton,4.0,3.3,2.1
